No.,Station,Lat(℃),Lon(℃),Elevation(m),Institution,,,,,,,,,
126,Leppard Glacier,-65.95,-62.88,612,POLENET,,,,,,,,,
127,Tombstone Hill,-72.45,169.72,620,POLENET,,,,,,,,,
128,BrownGl,-53.09,73.64,640,AAD,,,,,,,,,
129,Siple Dome,-81.65,-148.99,667,AMRC,,,,,,,,,
130,Inman Nunatak,-74.82,-98.88,678,POLENET,,,,,,,,,
131,White Island,-78.08,167.45,686,AMRC,,,,,,,,,
132,aws11 ,-71.17,-6.8,690,IMAU,,,,,,,,,
133,Wilson Nunatak,-80.04,-80.56,692,POLENET,,,,,,,,,
134,Uranus Glacier,-71.36,-68.8,753,AMRC,,,,,,,,,
135,Rambo Nunatak,-83.87,-66.39,784,POLENET,,,,,,,,,
136,Sutton,-67.08,141.37,871,AMRC,,,,,,,,,
137,Zoraida,-74.16,162.74,880,PNRA,,,,,,,,,
138,aws10,-79.57,-45.78,890,IMAU,,,,,,,,,
139,Bean Peaks,-75.96,-69.3,892,POLENET,,,,,,,,,
140,Minna Bluff,-78.55,166.69,895,AMRC,,,,,,,,,
141,Hutton Mountains,-74.08,-61.73,951,POLENET,,,,,,,,,
142,Harry,-83.01,-121.41,956,AMRC,,,,,,,,,
143,Swithinbank,-81.2,-126.18,959,AMRC,,,,,,,,,
144,Cordiner Peak,-82.86,-53.2,963,POLENET,,,,,,,,,
145,Mount Carbone,-76.32,-144.3,965,POLENET,,,,,,,,,
146,Erin,-84.9,-128.87,988,AMRC,,,,,,,,,
147,Lower Thwaites Glacier,-76.44,-107.77,999,POLENET,,,,,,,,,
148,Clarke Mountains,-77.34,-141.87,1025,POLENET,,,,,,,,,
149,Siple,-75.9,-83.92,1054,AMRC,,,,,,,,,
150,Traverse Mountains,-69.99,-67.55,1064,POLENET,,,,,,,,,
151,Mount Suggs,-75.28,-72.18,1122,POLENET,,,,,,,,,
152,aws06,-74.47,-11.52,1160,IMAU,,,,,,,,,
153,Lyon Nunatak,-74.83,-73.9,1191,POLENET,,,,,,,,,
154,Whichaway_Nunata,-81.58,-28.4,1196,POLENET,,,,,,,,,
155,Haag Nunatak,-77.04,-78.29,1197,POLENET,,,,,,,,,
156,Toney Mountain,-75.8,-114.66,1197,POLENET,,,,,,,,,
157,Shristi,-74.7,161.57,1200,AMRC,,,,,,,,,
158,Recovery Glacier,-80.82,-22.26,1220,AMRC,,,,,,,,,
159,Lucia,-74.95,161.77,1250,PNRA,,,,,,,,,
160,Pirrot Hills,-81.1,-85.14,1263,POLENET,,,,,,,,,
161,Austin,-75.99,-87.48,1292,AMRC,,,,,,,,,
162,aws16,-71.95,23.33,1300,IMAU,,,,,,,,,
163,Up Thwaites Glacier,-77.58,-109.03,1314,POLENET,,,,,,,,,
164,Panda100,-70.22,76.65,1352,CHINARE,,,,,,,,,
165,Jurassic,-74.54,-73.21,1361,BAS,,,,,,,,,
166,Jensen Nunatak,-73.08,-66.1,1374,POLENET,,,,,,,,,
167,DSS,-66.8,112.81,1376,AAD,,,,,,,,,
168,LawDome,-66.73,112.74,1376,AAD,,,,,,,,,
169,Ferrigno,-74.57,-86.91,1385,BAS,,,,,,,,,
170,Ski-Hi,-74.98,-70.77,1395,AMRC,,,,,,,,,
171,Gomez,-74,-70.61,1400,BAS,,,,,,,,,
172,Gomez Nunatak,-73.88,-68.54,1420,POLENET,,,,,,,,,
173,Doug,-82.32,-113.24,1433,AMRC,,,,,,,,,
174,Bennett Nunatak,-84.79,-116.46,1441,POLENET,,,,,,,,,
175,Sushila,-74.41,161.31,1441,AMRC,,,,,,,,,
176,Theresa,-84.6,-115.85,1454,AMRC,,,,,,,,,
177,Howard Nunatak,-77.53,-86.77,1502,POLENET,,,,,,,,,
178,Sky Blu,-74.79,-71.49,1510,AMRC,,,,,,,,,
179,Mount Bruce,-70.6,162.52,1513,POLENET,,,,,,,,,
180,Pecora Escarpment,-85.61,-68.55,1524,POLENET,,,,,,,,,
181,Sandra,-74.49,160.49,1525,AMRC,,,,,,,,,
182,Welch Mountains,-70.73,-63.82,1534,POLENET,,,,,,,,,
183,Byrd,-80.01,-119.44,1539,AMRC,,,,,,,,,
184,AGO Site,-77.52,-23.74,1545,AMRC,,,,,,,,,
185,Sofiab,-75.61,158.59,1552,PNRA,,,,,,,,,
186,Lonewolf Nunatak,-81.34,152.73,1554,POLENET,,,,,,,,,
187,D-47,-67.39,138.73,1560,AMRC,,,,,,,,,
188,Steward Hills,-84.19,-86.25,1582,POLENET,,,,,,,,,
189,Kathie,-78,-97.27,1607,AMRC,,,,,,,,,
190,Lola,-74.14,163.43,1621,PNRA,,,,,,,,,
191,A028,-68.41,112.22,1622,AAD,,,,,,,,,
192,Asgard,-77.6,161.07,1750,AMRC,,,,,,,,,
193,Lynn,-74.21,160.41,1772,AMRC,,,,,,,,,
194,Kominko-Slade,-79.47,-112.11,1801,AMRC,,,,,,,,,
195,LGB00,-68.66,61.11,1830,AAD,,,,,,,,,
196,Noel,-79.33,-111.08,1833,AMRC,,,,,,,,,
197,Mount Walcott,-85.4,-87.39,1849,POLENET,,,,,,,,,
198,LGB69,-70.84,77.07,1854,AAD,,,,,,,,,
199,Mt.Fleming,-77.53,160.28,1868,AMRC,,,,,,,,,
200,Modesta,-74.64,160.65,1924,PNRA,,,,,,,,,
201,Kohler Glacier,-76.15,-120.73,1929,POLENET,,,,,,,,,
202,Panda200,-70.97,77.19,1952,CHINARE,,,,,,,,,
203,Monte Cassino,-72.27,163.73,1954,POLENET,,,,,,,,,
204,Baldrick,-82.77,-13.05,1968,AMRC,,,,,,,,,
205,Butcher Ridge,-79.15,155.89,2030,POLENET,,,,,,,,,
206,MtBrown,-69.13,86,2064,AAD,,,,,,,,,
207,Janet,-77.18,-123.39,2085,AMRC,,,,,,,,,
208,Bowers,-85.2,163.4,2090,AMRC,,,,,,,,,
209,Irene,-71.65,148.66,2094,PNRA,,,,,,,,,
210,AGO-A84,-84.36,-23.86,2103,AMRC,,,,,,,,,
211,D-57,-68.2,137.54,2105,AMRC,,,,,,,,,
212,GF08,-68.49,102.18,2123,AAD,,,,,,,,,
213,Mount Sidley,-77.13,-125.97,2123,POLENET,,,,,,,,,
214,Brimstone Peak,-75.8,158.47,2138,POLENET,,,,,,,,,
215,Westhaven Nunatak,-79.84,154.22,2216,POLENET,,,,,,,,,
216,Mizuho,-70.7,44.29,2260,AMRC,,,,,,,,,
217,LGB35,-76.04,65,2342,AAD,,,,,,,,,
218,Panda300,-72,77.95,2344,CHINARE,,,,,,,,,
219,LGB46,-75.85,71.5,2352,AAD,,,,,,,,,
220,Paola,-72.83,159.19,2370,PNRA,,,,,,,,,
221,Whitmore Mountains,-82.68,-104.39,2374,POLENET,,,,,,,,,
222,aws08,-76,-8.05,2400,IMAU,,,,,,,,,
223,Mount Howe,-87.32,-149.55,2400,AMRC,,,,,,,,,
224,AGO-A81,-81.5,3.74,2410,AMRC,,,,,,,,,
225,Recovery Lakes 2,-81.71,8.58,2473,POLENET,,,,,,,,,
226,E-66,-68.91,134.62,2485,AMRC,,,,,,,,,
227,D-80,-70.04,134.88,2500,AMRC,,,,,,,,,
228,Giulia,-75.54,145.86,2510,PNRA,,,,,,,,,
229,LGB59,-73.45,76.79,2537,AAD,,,,,,,,,
230,Panda400,-72.86,77.38,2572,CHINARE,,,,,,,,,
231,Panda,-73.69,76.97,2584,AAD,,,,,,,,,
232,LGB10,-71.29,59.21,2620,AAD,,,,,,,,,
233,Taishan,-73.86,76.98,2626,CHINARE,,,,,,,,,
234,Bumstead Nunatak,-85.96,174.5,2649,POLENET,,,,,,,,,
235,D-85,-70.43,134.15,2651,AMRC,,,,,,,,,
236,Recovery Lakes 1,-82.81,18.9,2694,POLENET,,,,,,,,,
237,AuroraBN,-71.17,111.37,2714,AAD,,,,,,,,,
238,LGB20,-73.83,55.67,2741,AAD,,,,,,,,,
239,Henry,-89,-0.41,2781,AMRC,,,,,,,,,
240,GC41,-71.6,111.26,2791,AAD,,,,,,,,,
241,Eagle,-76.42,77.02,2825,CHINARE/AAD,,,,,,,,,
242,Allison,-89.88,-60,2835,AMRC,,,,,,,,,
243,Clean Air,-90,0,2835,AMRC,,,,,,,,,
244,Patrick,-89.88,45,2835,AMRC,,,,,,,,,
245,aws09,-75,0,2900,IMAU,,,,,,,,,
246,Lindsay,-89,-89.85,2940,AMRC,,,,,,,,,
247,Kelly,-89,-179.61,2950,AMRC,,,,,,,,,
248,Nico,-89,90.02,2979,AMRC,,,,,,,,,
249,Concordia,-75.1,123.4,3230,PNRA,,,,,,,,,
250,Dome C II,-75.11,123.35,3250,AMRC,,,,,,,,,
251,Dome C,-74.5,123,3280,AMRC,,,,,,,,,
252,Relay Station,-74.02,43.06,3353,AMRC,,,,,,,,,
253,AGO-5,-77.24,123.52,3519,AMRC,,,,,,,,,
254,AGO-4,-82.01,96.76,3597,AMRC,,,,,,,,,
255,aws12,-78.65,35.63,3620,IMAU,,,,,,,,,
256,JASE2007,-75.89,25.83,3661,AMRC,,,,,,,,,
257,Mt.Erebus,-77.53,167.13,3700,AMRC,,,,,,,,,
258,aws13,-82.12,55.03,3730,IMAU,,,,,,,,,
259,Panda1100,-79.01,76.99,3736,CHINARE,,,,,,,,,
260,Dome F,-77.31,39.7,3810,AMRC,,,,,,,,,
261,Dome Fuji,-77.31,39.7,3810,AMRC,,,,,,,,,
262,Panda_South,-82.33,75.99,4027,CHINARE/AMRC,,,,,,,,,
263,Dome_A,-80.37,77.37,4093,CHINARE/AAD,,,,,,,,,
264,Kunlun,-80.43,77.12,4093,CHINARE,,,,,,,,,
265,AWS_A,-75.55,-27.45,,BAS,,,,,,,,,
266,AWS_B,-75.58,-26.79,,BAS,,,,,,,,,
267,Wormold,-67.47,-68.14,,BAS,,,,,,,,,
